登记证号,农药名称,农药类别,剂型,总含量,有效期至,登记证持有人,持有人地址
PD20211653,氧氟·草铵膦,除草剂,悬浮剂,32%,2031-8-24,沧州蓝润生物制药有限公司,河北省沧州市临港化工园区经四路以东化工大道以南
PD20211652,乙羧·草铵膦,除草剂,微乳剂,11%,2031-8-24,山东贵合生物科技有限公司,山东省阳谷县阿城镇大洼里村（阿城镇工业园）
PD20211641,烟嘧·特丁津,除草剂,可分散油悬浮剂,33%,2031-8-24,吉林金秋农药有限公司,吉林省磐石市磐石大街325号
PD20211633,甲磺草胺,除草剂,悬浮剂,40%,2031-8-24,江苏省农用激素工程技术研究中心有限公司,江苏省常州市新北区岷江路98号
PD20211632,异噁唑草酮,除草剂,悬浮剂,20%,2031-8-24,江苏中旗科技股份有限公司,江苏省南京化学工业园长丰河路309号
PD20211631,嘧啶肟草醚,除草剂,乳油,5%,2031-8-24,江苏省农用激素工程技术研究中心有限公司,江苏省常州市新北区岷江路98号
PD20211630,吡氟酰草胺,除草剂,悬浮剂,41%,2031-8-24,江苏省农用激素工程技术研究中心有限公司,江苏省常州市新北区岷江路98号
PD20211621,甲基二磺隆,除草剂,可分散油悬浮剂,1%,2031-8-24,祥霖美丰生物科技（淮安）有限公司,江苏省淮安盐化新材料产业园区(苏淮高新区)张码路11号
PD20211620,异丙隆,除草剂,可分散油悬浮剂,20%,2031-8-24,祥霖美丰生物科技（淮安）有限公司,江苏省淮安盐化新材料产业园区(苏淮高新区)张码路11号
PD20211618,唑啉草酯,除草剂,乳油,5%,2031-8-24,祥霖美丰生物科技（淮安）有限公司,江苏省淮安盐化新材料产业园区(苏淮高新区)张码路11号
PD20211616,甲基二磺隆,除草剂,可分散油悬浮剂,30克/升,2031-8-24,江苏中旗科技股份有限公司,江苏省南京化学工业园长丰河路309号
PD20211615,苯唑草酮,除草剂,悬浮剂,15%,2031-8-24,陕西上格之路生物科学有限公司,陕西省西安市高新区集贤园创业大道9号
PD20211614,乙·嗪·滴辛酯,除草剂,乳油,60%,2031-8-24,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20211611,吡酰·异丙隆,除草剂,悬浮剂,39%,2031-8-24,青岛现代农化有限公司,山东省青岛胶州市九龙镇驻地
PD20211606,噁唑·氰氟,除草剂,乳油,20%,2031-8-24,德州绿霸精细化工有限公司,山东省德州市天衢工业园恒东路288号
PD20211588,咯菌·噻虫胺,杀虫/杀菌剂,种子处理悬浮剂,33%,2031-8-24,青岛正道药业有限公司,山东省莱西市姜山镇盛德路西
PD20211581,多杀·甲维盐,杀虫剂,悬浮剂,19.5%,2031-8-24,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20211565,印楝提取物,杀虫剂,乳油,0.5%,2031-8-24,邦农达（潍坊）作物科学有限公司,齐王路5888号
PD20211562,噻虫嗪,杀虫剂,种子处理悬浮剂,30%,2031-8-24,吉林金秋农药有限公司,吉林省磐石市磐石大街325号
PD20211550,氟氯氰菊酯·噻虫胺,杀虫剂,颗粒剂,0.2%,2031-8-24,河南金田地农化有限责任公司,河南省尉氏县工业基地二环路南
PD20211545,虫螨·噻虫嗪,杀虫剂,悬浮剂,30%,2031-8-24,青岛恒丰作物科学有限公司,山东省莱西市姜山镇岭前村(姜山工业园)
PD20211540,甲氨基阿维菌素苯甲酸盐,杀虫剂,可溶液剂,8%,2031-8-24,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20211518,呋虫·哒螨灵,杀虫剂,悬浮剂,20%,2031-8-24,佛山市高明区万邦生物有限公司,广东省佛山市高明区沧江工业区名城园区
PD20211514,虫螨腈·噻虫胺,杀虫剂,悬浮剂,28%,2031-8-24,陕西西大华特科技实业有限公司,陕西省西安市高新区科技二路65号清华科技园A座308室
PD20211511,吡蚜·噻虫啉,杀虫剂,水分散粒剂,50%,2031-8-24,陕西上格之路生物科学有限公司,陕西省西安市高新区集贤园创业大道9号
PD20211508,氯氟·啶虫脒,杀虫剂,水分散粒剂,40%,2031-8-24,安徽美兰农业发展股份有限公司,安徽省合肥市蜀山区小庙工业聚集区
PD20211502,螺虫·呋虫胺,杀虫剂,悬浮剂,14%,2031-8-24,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211497,甲维·丁醚脲,杀虫剂,悬浮剂,47.8%,2031-8-24,山东恒利达生物科技有限公司,山东省济南市商河县经济开发区科源路
PD20211474,吲丁·诱抗素,植物生长调节剂,可湿性粉剂,2%,2031-8-24,渭南东旺农华生物科技有限公司,陕西省渭南市高新技术产业开发区锦华大道与建业二路交叉口北200米路东
PD20211473,苄氨·三十烷,植物生长调节剂,可溶液剂,2%,2031-8-24,渭南东旺农华生物科技有限公司,陕西省渭南市高新技术产业开发区锦华大道与建业二路交叉口北200米路东
PD20211470,矮壮·多效唑,植物生长调节剂,悬浮剂,30%,2031-8-24,中棉小康生物科技有限公司,河南省安阳市北关区工业园创业大道8号
PD20211460,氯化胆碱,植物生长调节剂,可溶液剂,60%,2031-8-24,江苏莱科化学有限公司,江苏省如东县洋口化学工业园海滨二路
PD20211450,氟菌·霜霉威,杀菌剂,悬浮剂,687.5克/升,2031-8-24,青岛正道药业有限公司,山东省莱西市姜山镇盛德路西
PD20211448,环丙·嘧菌酯,杀菌剂,悬浮剂,280克/升,2031-8-24,如东众意化工有限公司,江苏省南通市如东洋口工业开发区
PD20211432,氨基寡糖素,杀菌剂,可溶液剂,5%,2031-8-24,驻马店锦绣之星作物科学有限公司,驻马店市产业集聚区管委会综合服务中心5楼511房间
PD20211429,戊唑醇,杀菌剂,种子处理悬浮剂,60克/升,2031-8-24,吉林金秋农药有限公司,吉林省磐石市磐石大街325号
PD20211422,春雷·喹啉铜,杀菌剂,悬浮剂,33%,2031-8-24,青岛小蜂生物科技有限公司,山东省莱西市姜山镇岭前村（姜山工业园）
PD20211418,啶氧·丙环唑,杀菌剂,微乳剂,19%,2031-8-24,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20211417,噁霉灵,杀菌剂,可溶粉剂,98%,2031-8-24,山东坤牛植物保护有限公司,山东省潍坊市青州市邵庄镇峱山经济发展区桓公路678-16号（邵庄镇普通）桓公路678-16号
PD20211413,喹啉铜,杀菌剂,悬浮剂,33.5%,2031-8-24,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20211407,噁酮·氰霜唑,杀菌剂,悬浮剂,45%,2031-8-24,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20211405,噁霉·稻瘟灵,杀菌剂,微乳剂,20%,2031-8-24,陕西西大华特科技实业有限公司,陕西省西安市高新区科技二路65号清华科技园A座308室
PD20211396,醚菌酯,杀菌剂,悬浮剂,30%,2031-8-24,祥霖美丰生物科技（淮安）有限公司,江苏省淮安盐化新材料产业园区(苏淮高新区)张码路11号
PD20211395,氟啶·霜脲氰,杀菌剂,水分散粒剂,50%,2031-8-24,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20211389,苯甲·多抗,杀菌剂,可湿性粉剂,15%,2031-8-24,陕西省蒲城美尔果农化有限责任公司,陕西省蒲城县陈庄镇东鲁村（农化工业园）
PD20211388,戊唑·咪鲜胺,杀菌剂,水乳剂,400克/升,2031-8-24,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211386,春雷·喹啉铜,杀菌剂,悬浮剂,33%,2031-8-24,山东统防生物科技有限公司,山东省菏泽市巨野县董官屯镇化工园区纬七路西段路北
PD20211382,枯草芽孢杆菌,杀菌剂,可湿性粉剂,1000亿芽孢/克,2031-8-24,邦农达（潍坊）作物科学有限公司,齐王路5888号
PD20211371,吡虫啉·咯菌腈·灭菌唑,杀虫/杀菌剂,种子处理悬浮剂,12%,2031-8-24,吉林八达作物科学有限公司,吉林省公主岭市工业大街179号
PD20110859,硫酰氟,杀虫剂,气体制剂,99%,2031-8-22,龙口市化工厂,山东省烟台市龙口市兰高镇四平路北
WP20110195,联苯菊酯,卫生杀虫剂,水乳剂,2.5%,2031-8-21,江苏功成生物科技有限公司,江苏省南通市如东县洋口化工园黄海五路
WP20110194,杀蟑饵剂,卫生杀虫剂,饵剂,0.1%,2031-8-21,江苏功成生物科技有限公司,江苏省南通市如东县洋口化工园黄海五路
PD20110912,甲氨基阿维菌素苯甲酸盐,杀虫剂,水分散粒剂,5%,2031-8-21,青岛好利特生物农药有限公司,青岛市莱西市马连庄镇
PD20110911,草甘膦铵盐,除草剂,可溶粒剂,68%,2031-8-21,祥霖美丰生物科技（淮安）有限公司,江苏省淮安盐化新材料产业园区(苏淮高新区)张码路11号
WP20110191,杀虫粉剂,卫生杀虫剂,粉剂,0.48%,2031-8-16,河南韩氏卫生用品科技有限公司,河南省虞城县大同路东段
PD20110906,苏云金杆菌,杀虫剂,可湿性粉剂,16000IU/毫克,2031-8-16,山东恒利达生物科技有限公司,山东省济南市商河县经济开发区科源路
PD20110904,腈菌唑,杀菌剂,悬浮剂,40%,2031-8-16,福建新农大正生物工程有限公司,福建省福州市仓山区建新镇金工2号福州海峡创意产业园2号楼3层2310单元
PD20110901,甲氨基阿维菌素苯甲酸盐,杀虫剂,乳油,2%,2031-8-16,河北德沐药业有限责任公司,石家庄市元氏县城南工业区（107国道宋曹道口）
PD20110896,甲氨基阿维菌素苯甲酸盐,杀虫剂,微乳剂,0.5%,2031-8-16,山东中新科农生物科技有限公司,桑园路2号
PD20110893,吡虫啉,杀虫剂,可湿性粉剂,70%,2031-8-16,山东万豪作物科学有限公司,山东商河经济开发区力源街166号
PD20110892,双甲脒,杀虫剂,乳油,200克/升,2031-8-16,山东恒利达生物科技有限公司,山东省济南市商河县经济开发区科源路
PD20110891,鱼藤酮,杀虫剂,乳油,2.5%,2031-8-15,广东省广州市益农生化有限公司,广东省广州市花都区新华镇工业大道18号
PD20110888,辛菌胺醋酸盐,杀菌剂,水剂,1.8%,2031-8-15,河北神华药业有限公司,河北省黄骅市经济技术开发区7号路
PD20110878,丁硫克百威,杀虫剂,种子处理干粉剂,35%,2031-8-15,青岛现代农化有限公司,山东省青岛胶州市九龙镇驻地
PD20110874,仲丁灵,除草剂,乳油,48%,2031-8-15,江西巴菲特化工有限公司,江西省安义县工业园区凤凰东路
PD20110871,甲嘧磺隆,除草剂,水分散粒剂,75%,2031-8-15,江苏省激素研究所股份有限公司,江苏省金坛市经济技术开发区环园北路95号
PD20110870,戊唑醇,杀菌剂,可湿性粉剂,80%,2031-8-15,上海生农生化制品股份有限公司,上海市松江区洞泾镇洞舟路51号
PD20110869,草甘膦铵盐,除草剂,可溶液剂,30%,2031-8-14,浙江金帆达生化股份有限公司,浙江省桐庐横村镇
PD85132-4,井冈霉素,杀菌剂,可溶粉剂,4%,2031-8-13,河南比赛尔农业科技有限公司,河南省尉氏县新尉工业园区
PD86158-2,三乙膦酸铝,杀菌剂,原药,95%、87%,2031-8-9,镇江江南化工有限公司,江苏省镇江新区国际化学工业园内
PD20110865,乙酰甲胺磷,杀虫剂,可溶粒剂,92%,2031-8-9,安道麦股份有限公司,湖北省荆州市沙市区北京东路93号
PD20110860,草甘膦胺盐,除草剂,可溶粉剂,50%,2031-8-9,重庆市永川化学制品厂,重庆市永川何埂镇聚美
PD20110843,苯甲·丙环唑,杀菌剂,乳油,300克/升,2031-8-9,广东茂名绿银农化有限公司,广东省化州市南盛镇山尾村委会竹头岭
PD20110841,甲氨基阿维菌素苯甲酸盐,杀虫剂,微乳剂,3%,2031-8-9,青岛恒丰作物科学有限公司,山东省莱西市姜山镇岭前村(姜山工业园)
PD20110836,联苯菊酯,杀虫剂,乳油,100克/升,2031-8-9,山东恒利达生物科技有限公司,山东省济南市商河县经济开发区科源路
PD20110834,甲氨基阿维菌素苯甲酸盐,杀虫剂,水分散粒剂,5%,2031-8-9,烟台科达化工有限公司,山东省招远市泉山路100号
PD20110832,草甘膦铵盐,除草剂,可溶粒剂,68%,2031-8-9,浙江金帆达生化股份有限公司,浙江省桐庐横村镇
PD20110828,嘧霉胺,杀菌剂,悬浮剂,40%,2031-8-9,陕西省蒲城美尔果农化有限责任公司,陕西省蒲城县陈庄镇东鲁村（农化工业园）
PD20110826,啶虫脒,杀虫剂,可湿性粉剂,20%,2031-8-9,山东中新科农生物科技有限公司,桑园路2号
PD20110825,联苯菊酯,杀虫剂,乳油,25克/升,2031-8-9,山东恒利达生物科技有限公司,山东省济南市商河县经济开发区科源路
WP20210154,驱蚊液,卫生杀虫剂,驱蚊液,10%,2031-8-5,福州萍晴日用化妆品有限公司,福建省福州市仓山区城门镇白云村
WP20210153,驱蚊花露水,卫生杀虫剂,驱蚊花露水,5%,2031-8-5,浙江蓝剑生物科技有限公司,浙江省义乌市上溪镇岩湖路2号
WP20210152,杀虫气雾剂,卫生杀虫剂,气雾剂,0.55%,2031-8-5,山东省临沂市友谊日化有限公司,山东省临沂市兰山区兰山经济开发区大阳路116号
WP20210150,杀虫气雾剂,卫生杀虫剂,气雾剂,0.3%,2031-8-5,潮州市城西荣兴蚊香厂,潮州市湘桥区桥东卧石荣兴蚊香厂
WP20210149,蚊香,卫生杀虫剂,蚊香,0.08%,2031-8-5,浙江蓝剑生物科技有限公司,浙江省义乌市上溪镇岩湖路2号
WP20210145,电热蚊香液,卫生杀虫剂,电热蚊香液,0.8%,2031-8-5,福建鑫立特实业有限公司,福建省漳州市长泰县经济开发区台湾工业园
WP20210144,驱蚊液,卫生杀虫剂,驱蚊液,7%,2031-8-5,黄山力神日用品有限公司,安徽省歙县北岸经济开发区
WP20210143,对二氯苯,卫生杀虫剂,片剂,99%,2031-8-5,晋江金童蚊香制品有限公司,福建省泉州市晋江市经济开发区（五里园）兴丁路11号
WP20210142,蚊香,卫生杀虫剂,蚊香,0.08%,2031-8-5,山东昌裕集团宝乐来日用化工有限公司,山东省聊城市东昌府区嘉明开发区西区1号
WP20210139,高氟氯·噻虫胺,卫生杀虫剂,颗粒剂,1%,2031-8-5,山东中新科农生物科技有限公司,桑园路2号
WP20210138,杀蚁饵剂,卫生杀虫剂,饵剂,0.8%,2031-8-5,江苏功成生物科技有限公司,江苏省南通市如东县洋口化工园黄海五路
WP20210135,电热蚊香液,卫生杀虫剂,电热蚊香液,0.6%,2031-8-5,福建米图日化有限公司,福建省泉州市石狮市蚶江镇锦里东北区85号
WP20210134,电热蚊香液,卫生杀虫剂,电热蚊香液,0.8%,2031-8-5,黄山力神日用品有限公司,安徽省歙县北岸经济开发区
PD20211343,甲维·氯虫苯,杀虫剂,悬浮剂,15.5%,2031-8-5,湖南大方农化股份有限公司,隆平高科技园合平路456号信城创智工业园第A11栋502号
PD20211342,联苯·噻虫啉,杀虫剂,微囊悬浮剂,6%,2031-8-5,山东仕邦农化有限公司,山东省菏泽市单县谢集镇单县化工产业园滨河北路中段路东
PD20211340,甲维·虱螨脲,杀虫剂,悬浮剂,7.6%,2031-8-5,江苏中旗科技股份有限公司,江苏省南京化学工业园长丰河路309号
PD20211339,氯虫·噻虫胺,杀虫剂,颗粒剂,1%,2031-8-5,深圳诺普信作物科学股份有限公司,深圳市宝安区西乡水库路113号
PD20211336,四聚乙醛,杀虫剂,可湿性粉剂,80%,2031-8-5,山东省菏泽北联农药制造有限公司,山东省菏泽市郑州路中段
PD20211335,毒死蜱,杀虫剂,乳油,45%,2031-8-5,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20211333,硫双威,杀虫剂,悬浮剂,350克/升,2031-8-5,上虞颖泰精细化工有限公司,浙江省杭州湾上虞经济技术开发区纬九路9号
PD20211331,虱脲·虫螨腈,杀虫剂,悬浮剂,12%,2031-8-5,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211327,甲维·茚虫威,杀虫剂,悬浮剂,8.8%,2031-8-5,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211320,斜纹夜蛾核型多角体病毒,杀虫剂,悬浮剂,20亿PIB/毫升,2031-8-5,江苏省苏科农化有限责任公司,江苏省南京市六合区瓜埠镇双巷路7号
PD20211316,阿维·虱螨脲,杀虫剂,悬浮剂,20%,2031-8-5,山东恒利达生物科技有限公司,山东省济南市商河县经济开发区科源路
PD20211314,氟啶虫酰胺,杀虫剂,水分散粒剂,50%,2031-8-5,浙江中山化工集团股份有限公司,浙江省长兴县小浦镇中山村
PD20211313,甲维盐·唑虫酰胺,杀虫剂,悬浮剂,19.5%,2031-8-5,南京南农农药科技发展有限公司,江苏省南京化学工业园区普桥路183号
PD20211312,高效氯氟氰菊酯,杀虫剂,乳油,50克/升,2031-8-5,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20211308,依维菌素,杀虫剂,微乳剂,5%,2031-8-5,顺毅股份有限公司,浙江省台州市椒江区外沙工业区
PD20211305,螺虫·噻嗪酮,杀虫剂,悬浮剂,33%,2031-8-5,福建新农大正生物工程有限公司,福建省福州市仓山区建新镇金工2号福州海峡创意产业园2号楼3层2310单元
PD20211298,甲氨基阿维菌素苯甲酸盐,杀虫剂,乳油,5%,2031-8-5,宁夏泰益欣生物科技股份有限公司,宁夏银川市贺兰县暖泉工业园区太平洋路1号
PD20211297,联肼·乙螨唑,杀虫剂,悬浮剂,45%,2031-8-5,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211296,除虫脲,杀虫剂,可湿性粉剂,25%,2031-8-5,山东京博农化科技股份有限公司,山东省滨州市博兴县致泰广场D座22-23层
PD20211292,苏云金杆菌,杀虫剂,悬浮剂,8000IU/微升,2031-8-5,江苏功成生物科技有限公司,江苏省南通市如东县洋口化工园黄海五路
PD20211288,杀单·噻虫嗪,杀虫剂,颗粒剂,0.5%,2031-8-5,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20211287,杀虫·啶虫脒,杀虫剂,可溶粉剂,39.4%,2031-8-5,广西汇丰生物科技有限公司,广西壮族自治区覃塘区产业园甘化园区
PD20211284,联苯·噻虫嗪,杀虫剂,悬浮剂,7%,2031-8-5,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211282,联苯·噻虫胺,杀虫剂,颗粒剂,1%,2031-8-5,郑州郑氏化工产品有限公司,河南省郑州市金水区农业路72号国际企业中心A座25层东
PD20211281,虱螨脲,杀虫剂,悬浮剂,10%,2031-8-5,江西众和化工有限公司,江西省南昌市安义工业园区北一路
PD20211280,氟啶·螺虫酯,杀虫剂,悬浮剂,30%,2031-8-5,河南瀚斯作物保护有限公司,河南省商丘市睢阳产业集聚区工业大道与睢化四路交叉口南500米路东
PD20211273,联肼·乙螨唑,杀螨剂,悬浮剂,45%,2031-8-5,南通泰禾化工股份有限公司,江苏省南通市如东县洋口化工聚集区
PD20211271,噻虫·咯·霜灵,杀虫/杀菌剂,种子处理悬浮剂,25%,2031-8-5,吉林市吉九农科农药有限公司,吉林省吉林市经济技术开发区农研西路1号
PD20211268,丙草·丙噁·松,除草剂,乳油,48%,2031-8-5,黑龙江谱农丰生物科技开发有限公司,黑龙江省绥化市安达市经济开发区-综合区D4-01-03B地块
PD20211266,苄嘧·丙草胺,除草剂,可分散油悬浮剂,40%,2031-8-5,浙江天一生物科技有限公司,浙江省绍兴市杭州湾上虞经济技术开发区纬三路16号
PD20211264,烯草酮,除草剂,乳油,240克/升,2031-8-5,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20211263,乙氧·异·甲戊,除草剂,乳油,60%,2031-8-5,安徽美兰农业发展股份有限公司,安徽省合肥市蜀山区小庙工业聚集区
PD20211262,氟噻草胺,除草剂,悬浮剂,41%,2031-8-5,驻马店锦绣之星作物科学有限公司,驻马店市产业集聚区管委会综合服务中心5楼511房间
PD20211261,唑啉草酯,除草剂,可分散油悬浮剂,10%,2031-8-5,驻马店锦绣之星作物科学有限公司,驻马店市产业集聚区管委会综合服务中心5楼511房间
PD20211260,2甲4氯二甲胺盐,除草剂,可溶液剂,53%,2031-8-5,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20211259,草甘膦异丙胺盐,除草剂,可溶液剂,30%,2031-8-5,湖北仙隆化工股份有限公司,仙桃市西流河镇化工产业园仙河大道特1号
PD20211257,草除灵,除草剂,悬浮剂,50%,2031-8-5,成都邦农化学有限公司,四川省成都市双流县金桥镇金桥社区三组
PD20211256,吡酰·异丙隆,除草剂,可湿性粉剂,60%,2031-8-5,驻马店锦绣之星作物科学有限公司,驻马店市产业集聚区管委会综合服务中心5楼511房间
PD20211253,草甘膦二甲胺盐,除草剂,可溶液剂,35%,2031-8-5,山东贵合生物科技有限公司,山东省阳谷县阿城镇大洼里村（阿城镇工业园）
PD20211252,特丁津·硝磺草酮,除草剂,可分散油悬浮剂,28%,2031-8-5,山东中禾化学有限公司,山东省滨州市滨北办事处凤凰九路东侧、梧桐七路北侧
PD20211250,敌稗·氰氟草酯,除草剂,乳油,42%,2031-8-5,江苏省南京惠宇农化有限公司,江苏省南京市化学工业园新材料产业园双巷路67号（六合区瓜埠境内）
PD20211248,灭草松,除草剂,可溶液剂,480克/升,2031-8-5,吉林金秋农药有限公司,吉林省磐石市磐石大街325号
PD20211245,唑啉草酯,除草剂,乳油,5%,2031-8-5,合肥星宇化学有限责任公司,安徽省合肥市循环经济示范园内
PD20211244,吡嘧·丙草胺,除草剂,颗粒剂,0.44%,2031-8-5,浙江天一生物科技有限公司,浙江省绍兴市杭州湾上虞经济技术开发区纬三路16号
PD20211243,吡氟酰草胺,除草剂,悬浮剂,30%,2031-8-5,合肥星宇化学有限责任公司,安徽省合肥市循环经济示范园内
PD20211242,2甲·氯·双氟,除草剂,悬乳剂,48%,2031-8-5,浙江中山化工集团股份有限公司,浙江省长兴县小浦镇中山村
PD20211240,2，4－滴二甲胺盐,除草剂,可溶液剂,600克/升,2031-8-5,山东胜邦绿野化学有限公司,山东省济南市章丘刁镇工业园
PD20211235,甲磺草胺,除草剂,悬浮剂,40%,2031-8-5,杭州颖泰生物科技有限公司,浙江省杭州市萧山区临江工业园区红十五路9777号
PD20211231,噁唑酰草胺,除草剂,乳油,10%,2031-8-5,德州绿霸精细化工有限公司,山东省德州市天衢工业园恒东路288号
PD20211228,砜嘧隆·高氟吡·嗪草酮,除草剂,可分散油悬浮剂,24%,2031-8-5,河南瀚斯作物保护有限公司,河南省商丘市睢阳产业集聚区工业大道与睢化四路交叉口南500米路东
PD20211227,噁唑·五氟磺,除草剂,可分散油悬浮剂,11%,2031-8-5,山东滨农科技有限公司,山东省滨州市滨城区滨北办事处永莘路518号
PD20211226,硝·烟·莠去津,除草剂,可分散油悬浮剂,28%,2031-8-5,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211225,灭草松钠盐,除草剂,可溶液剂,480克/升,2031-8-5,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211220,丙草胺,除草剂,颗粒剂,5%,2031-8-5,江苏莱科化学有限公司,江苏省如东县洋口化学工业园海滨二路
PD20211219,唑啉草酯,除草剂,可分散油悬浮剂,20%,2031-8-5,安徽蓝田农业开发有限公司,安徽省庐江县龙桥工业园区（纬一路以北、沈圩路以东）
PD20211216,双氟·二磺,除草剂,可分散油悬浮剂,2%,2031-8-5,深圳诺普信作物科学股份有限公司,深圳市宝安区西乡水库路113号
PD20211214,砜·喹·嗪草酮,除草剂,可分散油悬浮剂,26%,2031-8-5,江苏丰山生化科技有限公司,江苏省盐城市大丰区西康南路1号
PD20211213,喹禾糠酯,除草剂,乳油,40克/升,2031-8-5,江苏丰山生化科技有限公司,江苏省盐城市大丰区西康南路1号
PD20211212,特丁津,除草剂,水分散粒剂,90%,2031-8-5,浙江中山化工集团股份有限公司,浙江省长兴县小浦镇中山村
PD20211211,苄嘧·五氟磺草胺,除草剂,可分散油悬浮剂,6%,2031-8-5,浙江中山化工集团股份有限公司,浙江省长兴县小浦镇中山村
PD20211207,莠去津,除草剂,水分散粒剂,90%,2031-8-5,河北临港化工有限公司,河北省沧州市临港经济技术开发区沧州临港经济技术开发区天津大道2号
PD20211206,氨氯吡啶酸钾盐,除草剂,可溶液剂,24%,2031-8-5,山东潍坊润丰化工股份有限公司,山东省潍坊市滨海经济开发区氯碱路03001号
PD20211205,2甲·草甘膦,除草剂,可溶粉剂,68.1%,2031-8-5,山东弘业作物科学有限公司,金河一路以西、银海三路以南刁口乡政府驻地
PD20211203,苯·吡·西草净,除草剂,颗粒剂,17%,2031-8-5,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20211202,噻虫·咯·霜灵,杀虫/杀菌剂,种子处理悬浮剂,26%,2031-8-5,安徽尚禾沃达生物科技有限公司,安徽省合肥市史河路凤凰城2期31栋102室
PD20211201,噻虫嗪·咯菌腈·灭菌唑,杀虫/杀菌剂,种子处理悬浮剂,11%,2031-8-5,吉林八达作物科学有限公司,吉林省公主岭市工业大街179号
PD20211199,噻虫·咯菌腈,杀虫/杀菌剂,种子处理悬浮剂,33%,2031-8-5,浙江天一生物科技有限公司,浙江省绍兴市杭州湾上虞经济技术开发区纬三路16号
PD20211198,氨基寡糖素,植物诱抗剂,可溶液剂,5%,2031-8-5,山东东合生物科技有限公司,山东省商河经济开发区汇源街18号
PD20211194,28-表芸·赤霉酸,植物生长调节剂,可溶液剂,0.4%,2031-8-5,河北赛丰生物科技有限公司,河北省沧州市临港经济开发区国家循环经济促进中心515室
PD20211193,28-表高芸苔素内酯,植物生长调节剂,可溶液剂,0.004%,2031-8-5,河北中天邦正生物科技股份公司,河北省青县经济开发区北区长兴路6号
